# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Damping moment coefficient (​),Corrective moment Coefficient ()
4.716,547.702,105.217,106.345,-16.99,0.177,480.194,2588.645,0.287,84.917,63.479,2.723,0,19.14,0.612,0.037,3.093,79.388
4.746,550.801,104.717,105.842,-16.858,0.309,478.266,2588.645,0.287,84.827,63.479,2.711,0,18.978,0.612,0.065,3.068,78.571
4.777,554.09,104.187,105.308,-16.849,0.145,476.187,2588.645,0.287,84.934,63.479,2.725,0,18.767,0.611,0.03,3.047,77.769
4.806,557.119,103.695,104.816,-16.857,0.039,474.152,2588.645,0.287,85.002,63.479,2.734,0,18.577,0.611,0.008,3.035,77.025
4.835,560.084,103.213,104.333,-16.812,0.099,472.199,2588.645,0.287,84.961,63.479,2.728,0,18.408,0.611,0.021,3.023,76.266
4.865,563.161,102.711,103.832,-16.761,0.165,470.217,2588.645,0.287,84.914,63.479,2.722,0,18.232,0.611,0.035,3.01,75.482
4.895,566.246,102.208,103.329,-16.701,0.215,468.214,2588.645,0.287,84.879,63.479,2.718,0,18.053,0.611,0.045,2.995,74.703
4.925,569.31,101.707,102.829,-16.617,0.218,466.221,2588.645,0.287,84.875,63.479,2.717,0,17.877,0.611,0.046,2.978,73.942
4.955,572.381,101.205,102.328,-16.526,0.189,464.223,2588.645,0.287,84.892,63.479,2.719,0,17.699,0.61,0.04,2.96,73.19
4.986,575.423,100.708,101.831,-16.467,0.146,462.184,2588.645,0.287,84.918,63.479,2.723,0,17.513,0.61,0.031,2.945,72.45
5.015,578.354,100.229,101.352,-16.433,0.168,460.157,2588.645,0.287,84.902,63.479,2.721,0,17.329,0.61,0.035,2.933,71.728
5.043,581.147,99.77,100.895,-16.418,0.29,458.119,2588.645,0.287,84.819,63.479,2.71,0,17.149,0.61,0.061,2.917,71.023
5.07,583.839,99.327,100.454,-16.317,0.231,456.164,2588.645,0.287,84.856,63.479,2.715,0,16.993,0.61,0.048,2.901,70.382
5.098,586.692,98.859,99.986,-16.178,0.173,454.225,2588.645,0.287,84.893,63.479,2.72,0,16.837,0.61,0.036,2.889,69.707
5.129,589.69,98.369,99.495,-16.059,0.238,452.235,2588.645,0.287,84.848,63.479,2.714,0,16.671,0.61,0.05,2.876,68.976
5.16,592.698,97.878,99.003,-15.955,0.299,450.24,2588.645,0.287,84.805,63.479,2.708,0,16.506,0.61,0.063,2.862,68.249
5.19,595.713,97.387,98.508,-15.866,0.324,448.251,2588.645,0.287,84.787,63.479,2.706,0,16.342,0.609,0.068,2.843,67.53
5.222,598.742,96.893,98.011,-15.828,0.228,446.226,2588.645,0.287,84.849,63.479,2.714,0,16.164,0.609,0.048,2.822,66.833
5.252,601.656,96.416,97.533,-15.812,0.102,444.201,2588.645,0.287,84.931,63.479,2.724,0,15.992,0.609,0.021,2.811,66.171
5.281,604.501,95.949,97.065,-15.756,0.179,442.242,2588.645,0.287,84.877,63.479,2.718,0,15.839,0.609,0.038,2.799,65.493
5.312,607.439,95.467,96.581,-15.721,0.257,440.25,2588.645,0.287,84.823,63.479,2.711,0,15.676,0.609,0.054,2.786,64.796
5.342,610.315,94.992,96.107,-15.716,0.323,438.205,2588.645,0.287,84.778,63.479,2.705,0,15.505,0.609,0.068,2.773,64.117
5.371,613.071,94.536,95.652,-15.617,0.326,436.265,2588.645,0.287,84.774,63.479,2.705,0,15.365,0.609,0.068,2.76,63.482
5.403,616.049,94.045,95.16,-15.491,0.342,434.34,2588.645,0.287,84.762,63.479,2.703,0,15.222,0.609,0.072,2.736,62.798
5.436,619.186,93.527,94.641,-15.479,0.181,432.232,2588.645,0.287,84.867,63.479,2.716,0,15.035,0.608,0.038,2.719,62.109
5.467,622.045,93.053,94.168,-15.471,0.142,430.201,2588.645,0.287,84.891,63.479,2.719,0,14.871,0.608,0.03,2.709,61.466
5.497,624.829,92.589,93.705,-15.458,0.249,428.197,2588.645,0.287,84.818,63.479,2.71,0,14.716,0.608,0.052,2.697,60.818
5.527,627.591,92.127,93.246,-15.419,0.311,426.213,2588.645,0.287,84.775,63.479,2.705,0,14.567,0.608,0.065,2.683,60.186
5.557,630.382,91.66,92.781,-15.355,0.312,424.226,2588.645,0.287,84.772,63.479,2.704,0,14.417,0.608,0.065,2.665,59.56
5.588,633.201,91.187,92.311,-15.261,0.232,422.249,2588.645,0.287,84.823,63.479,2.711,0,14.268,0.608,0.049,2.647,58.944
5.62,636.064,90.709,91.834,-15.142,0.119,420.271,2588.645,0.287,84.897,63.479,2.72,0,14.121,0.608,0.025,2.635,58.328
5.652,638.99,90.221,91.346,-15.017,0.18,418.293,2588.645,0.287,84.855,63.479,2.715,0,13.975,0.607,0.038,2.623,57.673
5.685,641.953,89.728,90.851,-14.928,0.251,416.27,2588.645,0.287,84.806,63.479,2.709,0,13.822,0.607,0.053,2.608,57.012
5.717,644.844,89.247,90.368,-14.868,0.256,414.256,2588.645,0.287,84.801,63.479,2.708,0,13.668,0.607,0.054,2.591,56.38
5.749,647.663,88.777,89.896,-14.831,0.199,412.24,2588.645,0.287,84.837,63.479,2.712,0,13.516,0.607,0.042,2.575,55.776
5.78,650.429,88.314,89.432,-14.794,0.161,410.249,2588.645,0.287,84.86,63.479,2.715,0,13.371,0.607,0.034,2.559,55.182
5.812,653.206,87.848,88.966,-14.775,0.116,408.248,2588.645,0.287,84.889,63.479,2.719,0,13.222,0.607,0.024,2.546,54.59
5.843,655.93,87.389,88.507,-14.776,0.183,406.216,2588.645,0.287,84.842,63.479,2.713,0,13.071,0.607,0.038,2.535,53.995
5.873,658.567,86.942,88.062,-14.756,0.269,404.214,2588.645,0.287,84.784,63.479,2.706,0,12.93,0.607,0.056,2.522,53.418
5.903,661.196,86.495,87.618,-14.714,0.297,402.221,2588.645,0.287,84.763,63.479,2.703,0,12.79,0.607,0.062,2.506,52.853
5.934,663.833,86.046,87.172,-14.636,0.229,400.253,2588.645,0.287,84.806,63.479,2.709,0,12.655,0.606,0.048,2.488,52.304
5.965,666.534,85.587,86.714,-14.543,0.117,398.274,2588.645,0.287,84.88,63.479,2.718,0,12.518,0.606,0.024,2.473,51.75
5.998,669.287,85.12,86.248,-14.447,0.082,396.296,2588.645,0.287,84.902,63.479,2.721,0,12.383,0.606,0.017,2.463,51.177
6.03,672.079,84.646,85.773,-14.356,0.21,394.32,2588.645,0.287,84.815,63.479,2.71,0,12.251,0.606,0.044,2.451,50.576
6.064,674.918,84.164,85.291,-14.298,0.258,392.325,2588.645,0.287,84.781,63.479,2.705,0,12.113,0.606,0.054,2.434,49.979
6.097,677.711,83.689,84.815,-14.278,0.214,390.297,2588.645,0.287,84.808,63.479,2.709,0,11.969,0.606,0.045,2.418,49.407
6.13,680.424,83.225,84.351,-14.259,0.164,388.294,2588.645,0.287,84.84,63.479,2.713,0,11.832,0.606,0.034,2.403,48.854
6.162,683.117,82.763,83.89,-14.245,0.145,386.291,2588.645,0.287,84.851,63.479,2.714,0,11.695,0.606,0.03,2.391,48.303
6.194,685.765,82.306,83.436,-14.232,0.229,384.27,2588.645,0.287,84.794,63.479,2.707,0,11.558,0.606,0.048,2.377,47.749
6.226,688.352,81.858,82.991,-14.164,0.199,382.305,2588.645,0.287,84.812,63.479,2.709,0,11.434,0.605,0.042,2.364,47.226
6.259,691.028,81.395,82.53,-14.075,0.21,380.335,2588.645,0.287,84.803,63.479,2.708,0,11.308,0.605,0.044,2.352,46.682
6.292,693.751,80.925,82.06,-13.992,0.258,378.334,2588.645,0.287,84.77,63.479,2.704,0,11.177,0.605,0.054,2.337,46.127
6.326,696.456,80.457,81.593,-13.927,0.252,376.317,2588.645,0.287,84.772,63.479,2.704,0,11.042,0.605,0.053,2.32,45.584
6.359,699.094,79.999,81.136,-13.879,0.185,374.302,2588.645,0.287,84.815,63.479,2.71,0,10.909,0.605,0.039,2.302,45.064
6.391,701.677,79.551,80.688,-13.849,0.065,372.285,2588.645,0.287,84.894,63.479,2.72,0,10.776,0.605,0.013,2.29,44.564
6.423,704.21,79.109,80.248,-13.793,0.092,370.317,2588.645,0.287,84.875,63.479,2.717,0,10.658,0.605,0.019,2.279,44.058
6.456,706.84,78.65,79.79,-13.735,0.159,368.356,2588.645,0.287,84.828,63.479,2.711,0,10.54,0.605,0.033,2.264,43.531
6.491,709.535,78.179,79.319,-13.705,0.149,366.347,2588.645,0.287,84.833,63.479,2.712,0,10.412,0.605,0.031,2.25,43.002
6.525,712.193,77.712,78.853,-13.673,0.122,364.35,2588.645,0.287,84.85,63.479,2.714,0,10.288,0.604,0.025,2.234,42.484
6.559,714.85,77.244,78.387,-13.635,0.066,362.358,2588.645,0.287,84.886,63.479,2.719,0,10.166,0.604,0.014,2.22,41.972
6.594,717.515,76.773,77.918,-13.585,0.037,360.372,2588.645,0.287,84.904,63.479,2.721,0,10.046,0.604,0.008,2.211,41.457
6.629,720.199,76.297,77.444,-13.513,0.168,358.405,2588.645,0.287,84.815,63.479,2.71,0,9.932,0.604,0.035,2.201,40.924
6.665,722.96,75.808,76.956,-13.443,0.298,356.425,2588.645,0.287,84.727,63.479,2.698,0,9.815,0.604,0.062,2.189,40.378
6.702,725.724,75.318,76.466,-13.391,0.36,354.414,2588.645,0.287,84.685,63.479,2.693,0,9.694,0.604,0.075,2.172,39.841
6.738,728.441,74.833,75.982,-13.38,0.311,352.352,2588.645,0.287,84.715,63.479,2.697,0,9.561,0.604,0.065,2.158,39.328
6.772,731.002,74.374,75.525,-13.357,0.288,350.342,2588.645,0.287,84.729,63.479,2.699,0,9.442,0.604,0.06,2.143,38.843
6.806,733.547,73.916,75.07,-13.319,0.256,348.356,2588.645,0.287,84.749,63.479,2.701,0,9.328,0.604,0.053,2.13,38.364
6.842,736.128,73.451,74.607,-13.25,0.219,346.414,2588.645,0.287,84.772,63.479,2.704,0,9.222,0.604,0.046,2.114,37.881
6.878,738.835,72.962,74.12,-13.202,0.164,344.422,2588.645,0.287,84.808,63.479,2.709,0,9.106,0.603,0.034,2.1,37.379
6.915,741.524,72.475,73.634,-13.155,0.121,342.425,2588.645,0.287,84.835,63.479,2.712,0,8.993,0.603,0.025,2.087,36.88
6.953,744.24,71.981,73.142,-13.101,0.125,340.456,2588.645,0.287,84.831,63.479,2.712,0,8.884,0.603,0.026,2.071,36.374
6.992,747.004,71.476,72.64,-13.09,0.076,338.407,2588.645,0.287,84.863,63.479,2.716,0,8.762,0.603,0.016,2.06,35.865
7.029,749.636,70.993,72.159,-13.093,0.226,336.365,2588.645,0.287,84.761,63.479,2.703,0,8.642,0.603,0.047,2.051,35.363
7.064,752.146,70.528,71.699,-13.099,0.403,334.334,2588.645,0.287,84.642,63.479,2.688,0,8.526,0.603,0.084,2.041,34.883
7.098,754.55,70.08,71.257,-13.098,0.556,332.3,2588.645,0.287,84.54,63.479,2.675,0,8.412,0.603,0.117,2.024,34.426
7.131,756.868,69.647,70.829,-13.004,0.38,330.379,2588.645,0.287,84.654,63.479,2.689,0,8.315,0.603,0.08,2.007,34.018
7.167,759.361,69.182,70.368,-12.903,0.208,328.428,2588.645,0.287,84.767,63.479,2.704,0,8.21,0.603,0.043,1.991,33.58
7.204,761.905,68.708,69.896,-12.818,0.132,326.423,2588.645,0.287,84.817,63.479,2.71,0,8.1,0.603,0.027,1.975,33.126
7.241,764.414,68.239,69.43,-12.761,0.099,324.385,2588.645,0.287,84.837,63.479,2.713,0,7.985,0.603,0.021,1.966,32.676
7.276,766.824,67.788,68.981,-12.688,0.235,322.405,2588.645,0.287,84.746,63.479,2.701,0,7.886,0.602,0.049,1.954,32.23
7.313,769.293,67.326,68.519,-12.64,0.292,320.422,2588.645,0.287,84.706,63.479,2.696,0,7.78,0.602,0.061,1.937,31.783
7.349,771.713,66.87,68.065,-12.647,0.217,318.355,2588.645,0.287,84.755,63.479,2.702,0,7.662,0.602,0.045,1.925,31.358
7.383,773.984,66.439,67.637,-12.614,0.219,316.392,2588.645,0.287,84.752,63.479,2.702,0,7.565,0.602,0.046,1.911,30.954
7.418,776.322,65.994,67.195,-12.584,0.178,314.413,2588.645,0.287,84.778,63.479,2.705,0,7.465,0.602,0.037,1.896,30.543
7.454,778.675,65.545,66.748,-12.558,0.114,312.415,2588.645,0.287,84.82,63.479,2.71,0,7.362,0.602,0.024,1.882,30.133
7.49,781.012,65.096,66.303,-12.54,0.13,310.395,2588.645,0.287,84.808,63.479,2.709,0,7.257,0.602,0.027,1.87,29.72
7.525,783.294,64.655,65.867,-12.504,0.159,308.398,2588.645,0.287,84.787,63.479,2.706,0,7.158,0.602,0.033,1.858,29.317
7.56,785.575,64.213,65.429,-12.457,0.195,306.407,2588.645,0.287,84.762,63.479,2.703,0,7.06,0.602,0.041,1.845,28.916
7.596,787.86,63.769,64.989,-12.405,0.233,304.412,2588.645,0.287,84.735,63.479,2.7,0,6.962,0.602,0.049,1.834,28.515
7.632,790.139,63.326,64.549,-12.336,0.294,302.44,2588.645,0.287,84.694,63.479,2.694,0,6.87,0.602,0.061,1.826,28.116
7.669,792.467,62.872,64.098,-12.253,0.438,300.471,2588.645,0.287,84.597,63.479,2.682,0,6.782,0.602,0.092,1.817,27.704
7.707,794.887,62.4,63.627,-12.18,0.573,298.512,2588.645,0.287,84.508,63.479,2.671,0,6.693,0.601,0.121,1.797,27.279
7.747,797.34,61.92,63.148,-12.175,0.381,296.434,2588.645,0.287,84.633,63.479,2.687,0,6.58,0.601,0.08,1.778,26.873
7.784,799.616,61.471,62.701,-12.174,0.196,294.416,2588.645,0.287,84.754,63.479,2.702,0,6.479,0.601,0.041,1.763,26.498
7.82,801.842,61.028,62.262,-12.158,0.105,292.428,2588.645,0.287,84.814,63.479,2.71,0,6.39,0.601,0.022,1.751,26.127
7.858,804.123,60.573,61.81,-12.127,0.091,290.472,2588.645,0.287,84.823,63.479,2.711,0,6.304,0.601,0.019,1.739,25.741
7.897,806.481,60.099,61.341,-12.098,0.099,288.497,2588.645,0.287,84.816,63.479,2.71,0,6.215,0.601,0.021,1.727,25.342
7.937,808.874,59.616,60.862,-12.074,0.163,286.502,2588.645,0.287,84.772,63.479,2.704,0,6.124,0.601,0.034,1.717,24.935
7.973,810.996,59.185,60.436,-12.07,0.269,284.704,2588.645,0.287,84.701,63.479,2.695,0,6.037,0.601,0.056,1.707,24.572
8.011,813.28,58.717,59.974,-12.067,0.417,282.666,2588.645,0.287,84.601,63.479,2.683,0,5.943,0.601,0.087,1.695,24.18
8.049,815.488,58.262,59.526,-12.04,0.485,280.673,2588.645,0.287,84.556,63.479,2.677,0,5.856,0.601,0.102,1.683,23.807
8.087,817.694,57.805,59.075,-12.001,0.499,278.679,2588.645,0.287,84.545,63.479,2.675,0,5.768,0.601,0.105,1.669,23.439
8.125,819.894,57.348,58.624,-11.952,0.459,276.684,2588.645,0.287,84.57,63.479,2.679,0,5.68,0.601,0.096,1.654,23.078
8.164,822.09,56.889,58.172,-11.884,0.371,274.699,2588.645,0.287,84.627,63.479,2.686,0,5.595,0.6,0.077,1.643,22.721
8.203,824.335,56.42,57.708,-11.799,0.374,272.756,2588.645,0.287,84.625,63.479,2.686,0,5.517,0.6,0.078,1.627,22.353
8.245,826.672,55.93,57.222,-11.757,0.302,270.717,2588.645,0.287,84.671,63.479,2.691,0,5.424,0.6,0.063,1.615,21.975
8.285,828.911,55.458,56.755,-11.709,0.335,268.733,2588.645,0.287,84.648,63.479,2.689,0,5.342,0.6,0.07,1.599,21.608
8.326,831.174,54.979,56.279,-11.693,0.245,266.722,2588.645,0.287,84.707,63.479,2.696,0,5.252,0.6,0.051,1.583,21.246
8.366,833.355,54.513,55.818,-11.705,0.136,264.683,2588.645,0.287,84.778,63.479,2.705,0,5.16,0.6,0.028,1.572,20.898
8.404,835.426,54.066,55.378,-11.721,0.302,262.648,2588.645,0.287,84.667,63.479,2.691,0,5.073,0.6,0.063,1.56,20.554
8.441,837.432,53.63,54.949,-11.684,0.233,260.713,2588.645,0.287,84.712,63.479,2.697,0,5.001,0.6,0.048,1.545,20.235
8.481,839.548,53.169,54.494,-11.616,0.033,258.793,2588.645,0.287,84.845,63.479,2.713,0,4.933,0.6,0.007,1.539,19.906
8.524,841.83,52.669,54.001,-11.544,0.295,256.853,2588.645,0.287,84.669,63.479,2.691,0,4.861,0.6,0.061,1.528,19.527
8.569,844.188,52.151,53.488,-11.502,0.431,254.848,2588.645,0.287,84.578,63.479,2.68,0,4.777,0.6,0.09,1.514,19.144
8.612,846.441,51.652,52.995,-11.493,0.452,252.781,2588.645,0.287,84.562,63.479,2.678,0,4.688,0.6,0.095,1.501,18.785
8.653,848.546,51.182,52.531,-11.477,0.503,250.755,2588.645,0.287,84.528,63.479,2.673,0,4.606,0.6,0.105,1.496,18.45
8.694,850.601,50.721,52.076,-11.397,0.713,248.872,2588.645,0.287,84.39,63.479,2.656,0,4.551,0.6,0.15,1.488,18.116
8.739,852.881,50.207,51.568,-11.328,0.898,246.93,2588.645,0.287,84.271,63.479,2.641,0,4.485,0.6,0.19,1.469,17.749
8.786,855.254,49.669,51.035,-11.338,0.717,244.836,2588.645,0.287,84.386,63.479,2.655,0,4.387,0.599,0.151,1.45,17.387
8.829,857.357,49.186,50.559,-11.375,0.548,242.749,2588.645,0.287,84.495,63.479,2.669,0,4.295,0.599,0.115,1.437,17.066
8.868,859.284,48.738,50.119,-11.384,0.556,240.725,2588.645,0.287,84.489,63.479,2.668,0,4.22,0.599,0.117,1.426,16.765
8.908,861.218,48.284,49.675,-11.37,0.568,238.774,2588.645,0.287,84.48,63.479,2.667,0,4.152,0.599,0.119,1.414,16.464
8.949,863.196,47.816,49.217,-11.391,0.722,236.721,2588.645,0.287,84.379,63.479,2.654,0,4.072,0.599,0.152,1.402,16.15
8.989,865.065,47.369,48.781,-11.349,0.646,234.786,2588.645,0.287,84.428,63.479,2.661,0,4.009,0.599,0.136,1.389,15.864
9.03,867.038,46.895,48.318,-11.334,0.686,232.775,2588.645,0.287,84.401,63.479,2.657,0,3.933,0.599,0.144,1.374,15.558
9.071,868.934,46.435,47.869,-11.282,0.55,230.772,2588.645,0.287,84.488,63.479,2.668,0,3.865,0.599,0.115,1.359,15.272
9.114,870.906,45.955,47.4,-11.21,0.336,228.85,2588.645,0.287,84.628,63.479,2.686,0,3.799,0.599,0.07,1.343,14.979
9.158,872.924,45.461,46.916,-11.19,0.316,226.766,2588.645,0.287,84.64,63.479,2.688,0,3.717,0.599,0.066,1.329,14.671
9.199,874.789,45,46.466,-11.154,0.237,224.757,2588.645,0.287,84.692,63.479,2.694,0,3.645,0.599,0.049,1.314,14.39
9.24,876.619,44.545,46.022,-11.106,0.093,222.776,2588.645,0.287,84.788,63.479,2.706,0,3.579,0.599,0.019,1.302,14.118
9.282,878.464,44.084,45.57,-11.051,0.107,220.802,2588.645,0.287,84.777,63.479,2.705,0,3.515,0.599,0.022,1.29,13.838
9.325,880.342,43.611,45.107,-11.018,0.177,218.801,2588.645,0.287,84.729,63.479,2.699,0,3.444,0.599,0.037,1.277,13.552
9.366,882.155,43.151,44.657,-10.994,0.199,216.769,2588.645,0.287,84.714,63.479,2.697,0,3.375,0.599,0.041,1.266,13.278
9.408,883.923,42.699,44.215,-10.963,0.232,214.784,2588.645,0.287,84.691,63.479,2.694,0,3.31,0.598,0.048,1.25,13.012
9.449,885.682,42.245,43.771,-10.958,0.163,212.739,2588.645,0.287,84.736,63.479,2.7,0,3.237,0.598,0.034,1.237,12.751
9.489,887.354,41.809,43.346,-10.959,0.203,210.702,2588.645,0.287,84.708,63.479,2.696,0,3.167,0.598,0.042,1.225,12.5
9.527,888.955,41.388,42.935,-10.944,0.222,208.699,2588.645,0.287,84.695,63.479,2.694,0,3.103,0.598,0.046,1.211,12.261
9.566,890.547,40.965,42.524,-10.904,0.072,206.724,2588.645,0.287,84.795,63.479,2.707,0,3.047,0.598,0.015,1.203,12.029
9.606,892.196,40.525,42.096,-10.846,0.222,204.795,2588.645,0.287,84.694,63.479,2.694,0,2.993,0.598,0.046,1.187,11.78
9.649,893.916,40.062,41.645,-10.84,0.171,202.72,2588.645,0.287,84.727,63.479,2.699,0,2.92,0.598,0.035,1.181,11.528
9.689,895.508,39.63,41.224,-10.78,0.446,200.789,2588.645,0.287,84.544,63.479,2.675,0,2.871,0.598,0.093,1.167,11.285
9.732,897.195,39.169,40.775,-10.765,0.425,198.763,2588.645,0.287,84.557,63.479,2.677,0,2.803,0.598,0.089,1.153,11.038
9.773,898.782,38.731,40.349,-10.753,0.388,196.721,2588.645,0.287,84.581,63.479,2.68,0,2.739,0.598,0.081,1.14,10.807
9.812,900.319,38.302,39.932,-10.732,0.397,194.725,2588.645,0.287,84.574,63.479,2.679,0,2.68,0.598,0.083,1.127,10.582
9.852,901.842,37.874,39.516,-10.716,0.373,192.72,2588.645,0.287,84.589,63.479,2.681,0,2.62,0.598,0.078,1.116,10.361
9.892,903.342,37.447,39.103,-10.686,0.418,190.746,2588.645,0.287,84.559,63.479,2.677,0,2.566,0.598,0.087,1.109,10.142
9.933,904.862,37.012,38.68,-10.634,0.649,188.809,2588.645,0.287,84.407,63.479,2.658,0,2.521,0.598,0.136,1.103,9.916
9.977,906.473,36.548,38.229,-10.581,0.913,186.87,2588.645,0.287,84.236,63.479,2.636,0,2.476,0.598,0.193,1.093,9.677
10.023,908.15,36.06,37.754,-10.542,1.071,184.901,2588.645,0.287,84.135,63.479,2.623,0,2.425,0.598,0.228,1.08,9.431
10.07,909.837,35.564,37.272,-10.519,1.089,182.9,2588.645,0.287,84.122,63.479,2.622,0,2.368,0.598,0.232,1.071,9.189
10.117,911.491,35.071,36.793,-10.485,1.223,180.912,2588.645,0.287,84.037,63.479,2.611,0,2.321,0.598,0.261,1.06,8.949
10.166,913.208,34.556,36.291,-10.459,1.304,179.009,2588.645,0.287,83.986,63.479,2.604,0,2.272,0.598,0.279,1.038,8.703
10.216,914.923,34.031,35.783,-10.497,0.849,176.85,2588.645,0.287,84.273,63.479,2.641,0,2.197,0.598,0.179,1.025,8.469
10.262,916.46,33.554,35.323,-10.501,0.796,174.89,2588.645,0.287,84.307,63.479,2.645,0,2.146,0.597,0.168,1.009,8.252
10.308,917.997,33.069,34.856,-10.533,0.74,172.819,2588.645,0.287,84.342,63.479,2.65,0,2.086,0.597,0.156,1.003,8.035
10.352,919.444,32.605,34.412,-10.51,0.939,170.907,2588.645,0.287,84.214,63.479,2.633,0,2.049,0.597,0.199,0.993,7.826
10.4,920.996,32.101,33.93,-10.502,1.126,168.928,2588.645,0.287,84.095,63.479,2.618,0,2.002,0.597,0.239,0.979,7.602
10.449,922.555,31.585,33.439,-10.551,1.359,166.788,2588.645,0.287,83.947,63.479,2.599,0,1.937,0.597,0.291,0.971,7.377
10.492,923.916,31.128,33.005,-10.516,1.449,164.874,2588.645,0.287,83.891,63.479,2.592,0,1.901,0.597,0.311,0.962,7.184
10.54,925.377,30.632,32.533,-10.472,1.549,162.944,2588.645,0.287,83.829,63.479,2.584,0,1.863,0.597,0.333,0.95,6.977
10.59,926.896,30.109,32.037,-10.446,1.615,160.97,2588.645,0.287,83.787,63.479,2.579,0,1.814,0.597,0.348,0.934,6.763
10.64,928.388,29.587,31.543,-10.445,1.605,158.908,2588.645,0.287,83.793,63.479,2.58,0,1.757,0.597,0.346,0.92,6.555
10.686,929.759,29.099,31.082,-10.435,1.557,156.875,2588.645,0.287,83.822,63.479,2.584,0,1.705,0.597,0.335,0.908,6.364
10.732,931.074,28.624,30.635,-10.39,1.46,154.915,2588.645,0.287,83.881,63.479,2.591,0,1.664,0.597,0.313,0.892,6.183
10.78,932.447,28.122,30.161,-10.376,1.312,152.918,2588.645,0.287,83.973,63.479,2.603,0,1.611,0.597,0.28,0.88,5.994
10.827,933.737,27.643,29.711,-10.325,1.191,150.918,2588.645,0.287,84.048,63.479,2.612,0,1.574,0.597,0.254,0.864,5.817
10.877,935.106,27.128,29.226,-10.306,0.986,149.015,2588.645,0.287,84.177,63.479,2.629,0,1.523,0.597,0.209,0.846,5.631
10.924,936.386,26.637,28.767,-10.317,0.764,146.873,2588.645,0.287,84.319,63.479,2.647,0,1.466,0.597,0.161,0.833,5.458
10.969,937.566,26.176,28.337,-10.287,0.584,144.911,2588.645,0.287,84.435,63.479,2.661,0,1.428,0.597,0.122,0.819,5.298
11.016,938.78,25.695,27.889,-10.264,0.423,142.952,2588.645,0.287,84.54,63.479,2.675,0,1.387,0.597,0.088,0.804,5.133
11.063,939.988,25.208,27.436,-10.269,0.375,140.895,2588.645,0.287,84.572,63.479,2.679,0,1.338,0.597,0.078,0.791,4.967
11.108,941.115,24.745,27.007,-10.262,0.414,138.877,2588.645,0.287,84.545,63.479,2.675,0,1.295,0.597,0.086,0.778,4.812
11.153,942.217,24.284,26.582,-10.221,0.119,136.955,2588.645,0.287,84.741,63.479,2.7,0,1.264,0.597,0.025,0.767,4.664
11.202,943.382,23.79,26.126,-10.192,0.113,134.983,2588.645,0.287,84.744,63.479,2.701,0,1.227,0.597,0.023,0.752,4.505
11.251,944.55,23.283,25.661,-10.21,0.356,132.865,2588.645,0.287,84.582,63.479,2.68,0,1.174,0.597,0.074,0.75,4.342
11.296,945.586,22.827,25.242,-10.128,0.587,131.046,2588.645,0.287,84.43,63.479,2.661,0,1.16,0.597,0.123,0.757,4.199
11.346,946.715,22.322,24.779,-10.036,1.629,129.377,2588.645,0.287,83.77,63.479,2.577,0,1.153,0.597,0.351,0.747,4.034
11.396,947.818,21.821,24.318,-10.011,1.827,127.817,2588.645,0.287,83.649,63.479,2.562,0,1.12,0.597,0.396,0.74,3.883
11.446,948.897,21.322,23.861,-9.978,2.154,126.197,2588.645,0.287,83.452,63.479,2.537,0,1.093,0.597,0.471,0.735,3.734
11.496,949.951,20.824,23.405,-9.939,2.583,124.614,2588.645,0.287,83.199,63.479,2.505,0,1.073,0.596,0.572,0.732,3.588
11.546,950.979,20.328,22.953,-9.898,3.053,123.107,2588.645,0.287,82.93,63.479,2.47,0,1.056,0.596,0.684,0.719,3.446
11.596,951.983,19.833,22.503,-9.9,3.013,121.578,2588.645,0.287,82.952,63.479,2.473,0,1.02,0.596,0.674,0.71,3.312
11.646,952.963,19.338,22.055,-9.891,3.152,119.972,2588.645,0.287,82.873,63.479,2.463,0,0.992,0.596,0.708,0.707,3.18
11.696,953.917,18.844,21.611,-9.858,3.605,118.445,2588.645,0.287,82.622,63.479,2.431,0,0.981,0.596,0.82,0.701,3.05
11.746,954.847,18.352,21.17,-9.844,3.855,117.018,2588.645,0.287,82.485,63.479,2.414,0,0.961,0.596,0.882,0.676,2.924
11.796,955.752,17.858,20.731,-9.912,3.221,115.406,2588.645,0.287,82.833,63.479,2.458,0,0.9,0.596,0.725,0.661,2.808
11.846,956.633,17.362,20.295,-9.945,3.076,113.537,2588.645,0.287,82.914,63.479,2.468,0,0.86,0.596,0.69,0.652,2.692
11.896,957.489,16.864,19.863,-9.951,3.272,111.668,2588.645,0.287,82.804,63.479,2.454,0,0.836,0.596,0.737,0.634,2.577
11.946,958.319,16.366,19.434,-9.996,3.191,109.755,2588.645,0.287,82.849,63.479,2.46,0,0.792,0.596,0.717,0.629,2.467
11.996,959.123,15.867,19.01,-9.984,3.565,107.844,2588.645,0.287,82.641,63.479,2.434,0,0.776,0.596,0.809,0.614,2.358
12.046,959.904,15.367,18.588,-10.014,3.667,105.971,2588.645,0.287,82.585,63.479,2.427,0,0.74,0.596,0.835,0.604,2.254
