t,w1,w2,w3,v1,v2,v3,qw,qx,qy,qz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.001,0.0,0.0,1.7499999999999998e-15,0.0,0.0,-0.00981,1.0,0.0,0.0,0.0
0.002,0.0,0.0,1.7191317499999999e-13,0.0,0.0,-0.012131358687971713,1.0,0.0,0.0,8.75e-19
0.003,0.0,0.0,4.312104363283969e-13,0.0,0.0,-0.007174761869301663,1.0,0.0,0.0,8.683158749999998e-17
0.004,0.0,0.0,5.230455501204708e-13,0.0,0.0,0.005059117460456566,1.0,0.0,0.0,3.024368056641984e-16
0.005,0.0,0.0,5.695862217081897e-13,0.0,0.0,0.024152220705613552,1.0,0.0,0.0,5.639595807244338e-16
0.006,0.0,0.0,1.5921633104803584e-12,0.0,0.0,0.050522082819681395,1.0,0.0,0.0,8.487526915785286e-16
0.007,0.0,0.0,6.0607548022481646e-12,0.0,0.0,0.08417345398185688,1.0,0.0,0.0,1.6448343468187077e-15
0.008,0.0,0.0,1.8461552923910778e-11,0.0,0.0,0.12510747366693034,1.0,0.0,0.0,4.6752117479427906e-15
0.009000000000000001,0.0,0.0,4.5854092866723696e-11,0.0,0.0,0.173325184985659,1.0,0.0,0.0,1.390598820989818e-14
0.010000000000000002,0.0,0.0,9.842867742977129e-11,0.0,0.0,0.2288276165680512,1.0,0.0,0.0,3.683303464326003e-14
0.011000000000000003,0.0,0.0,1.9006406411214763e-10,0.0,0.0,0.2916157926343284,1.0,0.0,0.0,8.604737335814567e-14
0.012000000000000004,0.0,0.0,3.38885412511206e-10,0.0,0.0,0.36169074632856413,1.0,0.0,0.0,1.810794054142195e-13
0.013000000000000005,0.0,0.0,5.678225054757051e-10,0.0,0.0,0.4390534974568,1.0,0.0,0.0,3.505221116698225e-13
0.014000000000000005,0.0,0.0,9.051682093265397e-10,0.0,0.0,0.5237050638352754,1.0,0.0,0.0,6.344333644076751e-13
0.015000000000000006,0.0,0.0,1.385137198628282e-09,0.0,0.0,0.6156464611656141,1.0,0.0,0.0,1.0870174690709448e-12
0.016000000000000007,0.0,0.0,2.048424937633334e-09,0.0,0.0,0.714878702860925,1.0,0.0,0.0,1.7795860683850858e-12
0.017000000000000008,0.0,0.0,2.942766917290542e-09,0.0,0.0,0.8214027998515843,1.0,0.0,0.0,2.8037985372017527e-12
0.01800000000000001,0.0,0.0,4.12349814659758e-09,0.0,0.0,0.9274528671631985,1.0,0.0,0.0,4.275181995847024e-12
0.01900000000000001,0.0,0.0,5.6287953330137465e-09,0.0,0.0,1.0330288234194978,1.0,0.0,0.0,6.336931069145814e-12
0.02000000000000001,0.0,0.0,7.496307045540822e-09,0.0,0.0,1.1381305874212264,1.0,0.0,0.0,9.151328735652686e-12
0.02100000000000001,0.0,0.0,9.763155955082448e-09,0.0,0.0,1.2427580781482523,1.0,0.0,0.0,1.2899482258423098e-11
0.022000000000000013,0.0,0.0,1.2465941076487239e-08,0.0,0.0,1.3469112147602427,1.0,0.0,0.0,1.778106023596432e-11
0.023000000000000013,0.0,0.0,1.5640740012269336e-08,0.0,0.0,1.4505899165966654,1.0,0.0,0.0,2.4014030774207937e-11
0.024000000000000014,0.0,0.0,1.9323111198000198e-08,0.0,0.0,1.55379410317645,1.0,0.0,0.0,3.1834400780342604e-11
0.025000000000000015,0.0,0.0,2.3548096149365536e-08,0.0,0.0,1.6565236941974641,1.0,0.0,0.0,4.1495956379342706e-11
0.026000000000000016,0.0,0.0,2.835022171088136e-08,0.0,0.0,1.7587786095358853,1.0,0.0,0.0,5.3270004454025476e-11
0.027000000000000017,0.0,0.0,3.3763502306263076e-08,0.0,0.0,1.8605587957365388,1.0,0.0,0.0,6.744511530946616e-11
0.028000000000000018,0.0,0.0,3.982144236295013e-08,0.0,0.0,1.9618641730337867,1.0,0.0,0.0,8.432686646259769e-11
0.02900000000000002,0.0,0.0,4.655703842145883e-08,0.0,0.0,2.062694661838116,1.0,0.0,0.0,1.0423758764407275e-10
0.03000000000000002,0.0,0.0,5.4002781390415885e-08,0.0,0.0,2.163050182735367,1.0,0.0,0.0,1.2751610685480217e-10
0.03100000000000002,0.0,0.0,6.219065880322102e-08,0.0,0.0,2.2629306564859535,1.0,0.0,0.0,1.5451749755001012e-10
0.03200000000000002,0.0,0.0,7.115215707633293e-08,0.0,0.0,2.3623360040240695,1.0,0.0,0.0,1.8561282695162064e-10
0.03300000000000002,0.0,0.0,8.091826376917264e-08,0.0,0.0,2.461266146456895,1.0,0.0,0.0,2.211889054897871e-10
0.03400000000000002,0.0,0.0,9.15194698456385e-08,0.0,0.0,2.5597210050637935,1.0,0.0,0.0,2.616480373743734e-10
0.035000000000000024,0.0,0.0,1.0298577193722689e-07,0.0,0.0,2.6577005012955106,1.0,0.0,0.0,3.0740777229719266e-10
0.036000000000000025,0.0,0.0,1.153466746077531e-07,0.0,0.0,2.755204556773364,1.0,0.0,0.0,3.589006582658061e-10
0.037000000000000026,0.0,0.0,1.2863119261966635e-07,0.0,0.0,2.852233059206157,1.0,0.0,0.0,4.1657399556968265e-10
0.03800000000000003,0.0,0.0,1.4286785286171624e-07,0.0,0.0,2.9487859305492377,1.0,0.0,0.0,4.808895918795159e-10
0.03900000000000003,0.0,0.0,1.580846969240752e-07,0.0,0.0,3.0448630929261062,1.0,0.0,0.0,5.52323518310374e-10
0.04000000000000003,0.0,0.0,1.743092833697364e-07,0.0,0.0,3.1404644686276004,1.0,0.0,0.0,6.313658667724115e-10
